Notes	2013 Urbanization	2013 Urbanization Code	Infant Age Groups	Infant Age Groups Code	UCD - ICD-10 130 Cause List (Infants)	UCD - ICD-10 130 Cause List (Infants) Code	Deaths	Population	Crude Rate
	Large Central Metro	1	< 1 day	1d	Diseases of the genitourinary system (N00-N95)	GR130-067	35	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)"	GR130-069	31	22969673	0
	Large Central Metro	1	< 1 day	1d	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	50934	22969673	2.2
	Large Central Metro	1	< 1 day	1d	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	15144	22969673	0.7
	Large Central Metro	1	< 1 day	1d	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	326	22969673	0
	Large Central Metro	1	< 1 day	1d	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	318	22969673	0
	Large Central Metro	1	< 1 day	1d	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	8614	22969673	0.4
	Large Central Metro	1	< 1 day	1d	Newborn affected by incompetent cervix (P01.0)	GR130-075	2561	22969673	0.1
	Large Central Metro	1	< 1 day	1d	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	4137	22969673	0.2
	Large Central Metro	1	< 1 day	1d	Newborn affected by multiple pregnancy (P01.5)	GR130-077	1054	22969673	0
	Large Central Metro	1	< 1 day	1d	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	862	22969673	0
	Large Central Metro	1	< 1 day	1d	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	5144	22969673	0.2
	Large Central Metro	1	< 1 day	1d	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	2116	22969673	0.1
	Large Central Metro	1	< 1 day	1d	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	147	22969673	0
	Large Central Metro	1	< 1 day	1d	Newborn affected by chorioamnionitis (P02.7)	GR130-082	2876	22969673	0.1
	Large Central Metro	1	< 1 day	1d	#Newborn affected by other complications of labor and delivery (P03)	GR130-084	531	22969673	0
	Large Central Metro	1	< 1 day	1d	#Newborn affected by noxious influences transmitted via placenta or breast milk (P04)	GR130-085	211	22969673	0
	Large Central Metro	1	< 1 day	1d	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	25050	22969673	1.1
	Large Central Metro	1	< 1 day	1d	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	183	22969673	0
	Large Central Metro	1	< 1 day	1d	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	24867	22969673	1.1
	Large Central Metro	1	< 1 day	1d	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	19657	22969673	0.9
	Large Central Metro	1	< 1 day	1d	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	5210	22969673	0.2
	Large Central Metro	1	< 1 day	1d	#Birth trauma (P10-P15)	GR130-092	30	22969673	0
	Large Central Metro	1	< 1 day	1d	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	876	22969673	0
	Large Central Metro	1	< 1 day	1d	Intrauterine hypoxia (P20)	GR130-094	234	22969673	0
	Large Central Metro	1	< 1 day	1d	Birth asphyxia (P21)	GR130-095	642	22969673	0
	Large Central Metro	1	< 1 day	1d	#Respiratory distress of newborn (P22)	GR130-096	1417	22969673	0.1
	Large Central Metro	1	< 1 day	1d	Other respiratory conditions originating in the perinatal period (P23-P28)	GR130-097	1902	22969673	0.1
	Large Central Metro	1	< 1 day	1d	#Congenital pneumonia (P23)	GR130-098	52	22969673	0
	Large Central Metro	1	< 1 day	1d	#Neonatal aspiration syndromes (P24)	GR130-099	104	22969673	0
	Large Central Metro	1	< 1 day	1d	#Interstitial emphysema and related conditions originating in the perinatal period (P25)	GR130-100	229	22969673	0
	Large Central Metro	1	< 1 day	1d	#Pulmonary hemorrhage originating in the perinatal period (P26)	GR130-101	100	22969673	0
	Large Central Metro	1	< 1 day	1d	#Atelectasis (P28.0-P28.1)	GR130-103	1260	22969673	0.1
	Large Central Metro	1	< 1 day	1d	All other respiratory conditions originating in the perinatal period (P28.2-P28.9)	GR130-104	149	22969673	0
	Large Central Metro	1	< 1 day	1d	Infections specific to the perinatal period (P35-P39)	GR130-105	939	22969673	0
	Large Central Metro	1	< 1 day	1d	#Bacterial sepsis of newborn (P36)	GR130-106	694	22969673	0
	Large Central Metro	1	< 1 day	1d	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	239	22969673	0
	Large Central Metro	1	< 1 day	1d	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	506	22969673	0
	Large Central Metro	1	< 1 day	1d	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	308	22969673	0
	Large Central Metro	1	< 1 day	1d	#Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59)	GR130-112	26	22969673	0
	Large Central Metro	1	< 1 day	1d	#Hematological disorders (P60-P61)	GR130-113	171	22969673	0
	Large Central Metro	1	< 1 day	1d	#Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2)	GR130-114	34	22969673	0
	Large Central Metro	1	< 1 day	1d	#Necrotizing enterocolitis of newborn (P77)	GR130-115	12	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	562	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	4462	22969673	0.2
	Large Central Metro	1	< 1 day	1d	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	9987	22969673	0.4
	Large Central Metro	1	< 1 day	1d	Anencephaly and similar malformations (Q00)	GR130-119	1149	22969673	0.1
	Large Central Metro	1	< 1 day	1d	Congenital hydrocephalus (Q03)	GR130-120	108	22969673	0
	Large Central Metro	1	< 1 day	1d	Spina bifida (Q05)	GR130-121	51	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	478	22969673	0
	Large Central Metro	1	< 1 day	1d	Congenital malformations of heart (Q20-Q24)	GR130-123	700	22969673	0
	Large Central Metro	1	< 1 day	1d	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	62	22969673	0
	Large Central Metro	1	< 1 day	1d	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	1412	22969673	0.1
	Large Central Metro	1	< 1 day	1d	Congenital malformations of digestive system (Q35-Q45)	GR130-126	38	22969673	0
	Large Central Metro	1	< 1 day	1d	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	1534	22969673	0.1
	Large Central Metro	1	< 1 day	1d	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	1079	22969673	0
	Large Central Metro	1	< 1 day	1d	Down's syndrome (Q90)	GR130-129	189	22969673	0
	Large Central Metro	1	< 1 day	1d	Edward's syndrome (Q91.0-Q91.3)	GR130-130	792	22969673	0
	Large Central Metro	1	< 1 day	1d	Patau's syndrome (Q91.4-Q91.7)	GR130-131	488	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	1591	22969673	0.1
	Large Central Metro	1	< 1 day	1d	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	316	22969673	0
	Large Central Metro	1	< 1 day	1d	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	419	22969673	0
	Large Central Metro	1	< 1 day	1d	#Sudden infant death syndrome (R95)	GR130-135	28	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	391	22969673	0
	Large Central Metro	1	< 1 day	1d	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	10	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"External causes of mortality (*U01,V01-Y84)"	GR130-138	190	22969673	0
	Large Central Metro	1	< 1 day	1d	#Accidents (unintentional injuries) (V01-X59)	GR130-139	45	22969673	0
	Large Central Metro	1	< 1 day	1d	Transport accidents (V01-V99)	GR130-140	14	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	14	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	122	22969673	0
	Large Central Metro	1	< 1 day	1d	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	41	22969673	0
	Large Central Metro	1	< 1 day	1d	"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)"	GR130-155	24	22969673	0
	Large Central Metro	1	< 1 day	1d	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	53	22969673	0
	Large Central Metro	1	< 1 day	1d	Other external causes (Y10-Y36)	GR130-158	16	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	Certain infectious and parasitic diseases (A00-B99)	GR130-001	23	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Viral diseases (A80-B34)	GR130-012	10	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"	GR130-018	10	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	Neoplasms (C00-D48)	GR130-023	67	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Malignant neoplasms (C00-C97)	GR130-024	17	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	12	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	50	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	76	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	66	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	222	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	82	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)"	GR130-038	133	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Diseases of the nervous system (G00-G98)	GR130-039	93	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"#Meningitis (G00,G03)"	GR130-040	22	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	69	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Diseases of the circulatory system (I00-I99)	GR130-046	277	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	95	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Cardiomyopathy (I42)	GR130-049	73	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Cerebrovascular diseases (I60-I69)	GR130-051	32	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	76	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	38	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Influenza and pneumonia (J09-J18)	GR130-055	12	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	Pneumonia (J12-J18)	GR130-057	11	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	23	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Diseases of the digestive system (K00-K92)	GR130-063	76	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)"	GR130-064	17	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	30	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	29	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Diseases of the genitourinary system (N00-N95)	GR130-067	144	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"#Renal failure and other disorders of kidney (N17-N19,N25,N27)"	GR130-068	133	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)"	GR130-069	11	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	12833	22969673	0.6
	Large Central Metro	1	1-6 days	1-6d	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	1327	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	58	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	83	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	488	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Newborn affected by incompetent cervix (P01.0)	GR130-075	67	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	207	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Newborn affected by multiple pregnancy (P01.5)	GR130-077	104	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	110	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	586	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	412	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	47	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Newborn affected by chorioamnionitis (P02.7)	GR130-082	126	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Newborn affected by other complications of labor and delivery (P03)	GR130-084	73	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Newborn affected by noxious influences transmitted via placenta or breast milk (P04)	GR130-085	39	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	1808	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	125	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	1683	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	1457	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	226	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Birth trauma (P10-P15)	GR130-092	137	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	798	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Intrauterine hypoxia (P20)	GR130-094	278	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Birth asphyxia (P21)	GR130-095	520	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Respiratory distress of newborn (P22)	GR130-096	1688	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	Other respiratory conditions originating in the perinatal period (P23-P28)	GR130-097	1727	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	#Congenital pneumonia (P23)	GR130-098	79	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Neonatal aspiration syndromes (P24)	GR130-099	106	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Interstitial emphysema and related conditions originating in the perinatal period (P25)	GR130-100	239	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Pulmonary hemorrhage originating in the perinatal period (P26)	GR130-101	872	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Chronic respiratory disease originating in the perinatal period (P27)	GR130-102	10	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	#Atelectasis (P28.0-P28.1)	GR130-103	377	22969673	0
	Large Central Metro	1	1-6 days	1-6d	All other respiratory conditions originating in the perinatal period (P28.2-P28.9)	GR130-104	44	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Infections specific to the perinatal period (P35-P39)	GR130-105	1023	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Bacterial sepsis of newborn (P36)	GR130-106	921	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	102	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	1996	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	1753	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	#Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59)	GR130-112	20	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Hematological disorders (P60-P61)	GR130-113	221	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2)	GR130-114	19	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	#Necrotizing enterocolitis of newborn (P77)	GR130-115	203	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	221	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	1886	22969673	0.1
	Large Central Metro	1	1-6 days	1-6d	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	5128	22969673	0.2
	Large Central Metro	1	1-6 days	1-6d	Anencephaly and similar malformations (Q00)	GR130-119	282	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Congenital hydrocephalus (Q03)	GR130-120	73	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Spina bifida (Q05)	GR130-121	13	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	309	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Congenital malformations of heart (Q20-Q24)	GR130-123	1141	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	282	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	547	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Congenital malformations of digestive system (Q35-Q45)	GR130-126	72	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	420	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	480	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Down's syndrome (Q90)	GR130-129	35	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Edward's syndrome (Q91.0-Q91.3)	GR130-130	586	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Patau's syndrome (Q91.4-Q91.7)	GR130-131	456	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	300	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	132	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	325	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Sudden infant death syndrome (R95)	GR130-135	108	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	217	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	14	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"External causes of mortality (*U01,V01-Y84)"	GR130-138	148	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Accidents (unintentional injuries) (V01-X59)	GR130-139	93	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Transport accidents (V01-V99)	GR130-140	15	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	15	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	Accidental suffocation and strangulation in bed (W75)	GR130-146	44	22969673	0
	Large Central Metro	1	1-6 days	1-6d	Accidental poisoning and exposure to noxious substances (X40-X49)	GR130-150	10	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)"	GR130-151	10	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	41	22969673	0
	Large Central Metro	1	1-6 days	1-6d	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	13	22969673	Unreliable
	Large Central Metro	1	1-6 days	1-6d	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	20	22969673	0
	Large Central Metro	1	1-6 days	1-6d	#Complications of medical and surgical care (Y40-Y84)	GR130-157	10	22969673	Unreliable
	Large Central Metro	1	7-27 days	7-27d	Certain infectious and parasitic diseases (A00-B99)	GR130-001	191	22969673	0
	Large Central Metro	1	7-27 days	7-27d	#Whooping cough (A37)	GR130-007	10	22969673	Unreliable
	Large Central Metro	1	7-27 days	7-27d	Viral diseases (A80-B34)	GR130-012	116	22969673	0
	Large Central Metro	1	7-27 days	7-27d	"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"	GR130-018	115	22969673	0
	Large Central Metro	1	7-27 days	7-27d	"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)"	GR130-022	48	22969673	0
	Large Central Metro	1	7-27 days	7-27d	Neoplasms (C00-D48)	GR130-023	90	22969673	0
	Large Central Metro	1	7-27 days	7-27d	#Malignant neoplasms (C00-C97)	GR130-024	37	22969673	0
